Date,Stage,Match,Team,Win,Enemy,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,K,D,A,Gold,Level,Tower,Lord ,Turtle,"Buff 
Merah","Buff
 Biru"
3/8/2024,Regular Season,1,Alter Ego,Win,EVOS Glory,Pai,Terizla,Fighter,Gusion,Assassin,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,14:20,1,0,6,9300,15,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Win,EVOS Glory,Tazz,Nolan,Assassin,Faramis,Support/Mage,Retribution,Assassin,Rupture,Seasoned Hunter,Lethal Ignition,14:20,4,1,2,12300,15,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Win,EVOS Glory,Cr1te,Vexana,Mage,Ruby,Fighter/Tank,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,14:20,4,1,5,9100,14,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Win,EVOS Glory,Rasy,Tigreal,Tank,Baxia,Tank,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,14:20,0,1,8,9300,13,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Win,EVOS Glory,Nino,Harith,Mage,Fredrinn,Fighter/Tank,Purify,Mage,Inspire,Festival of Blood,Impure Rage,14:20,2,0,6,11100,15,9,2,2,11,12
3/8/2024,Regular Season,1,EVOS Glory,Lose,Alter Ego,Veldora,Phoveus,Fighter,Uranus,Tank,Purify,Fighter,Inspire,Festival of Blood,Impure Rage,14:20,1,1,0,8100,13,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,Lose,Alter Ego,VAN,Martis,Fighter,Grock,Tank/Fighter,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,14:20,1,4,0,6900,13,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,Lose,Alter Ego,Warlord,Novaria,Mage,Arlott,Fighter/Assassin,Purify,Mage,Rupture,Wilderness Blessing.,Impure Rage,14:20,0,2,2,7300,13,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,Lose,Alter Ego,VaanStrong,Minotaur,Tank/Support,Cici,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,14:20,0,4,1,6000,12,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,Lose,Alter Ego,Super Red,Karrie,Marksman,Mathilda,Support/Assassin,Purify,Common,Firmness,Festival of Blood,Brave Smite,14:20,1,0,1,9000,13,0,0,1,4,4
